Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.993939,0.527538,0.000000,6.088866
10.000000,0.990909,0.614703,0.000000,6.773743
15.000000,0.984848,0.686235,0.000000,7.946592
20.000000,0.982828,0.784524,0.000000,8.289607
25.000000,0.989899,0.841174,0.000000,8.418107
30.000000,0.973737,0.893329,0.000000,8.453154
35.000000,0.991919,0.958483,0.000000,8.542733
40.000000,0.978788,0.973320,0.000000,8.995041
45.000000,0.997980,0.987242,0.000000,9.133398
50.000000,0.990909,0.994219,0.000000,9.105150
55.000000,0.981818,0.996301,0.000000,8.947754
