Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.994949,0.603685,0.000000,7.642653
10.000000,0.991919,0.487229,0.000000,8.664026
15.000000,0.995960,0.608881,0.000000,9.316550
20.000000,0.992929,0.837222,0.000000,9.357381
25.000000,0.994949,0.947754,0.000000,8.953370
30.000000,0.992929,0.977937,0.000000,8.706879
35.000000,0.992929,0.991860,0.000000,8.635523
40.000000,0.993939,0.995380,0.000000,8.652726
45.000000,0.995960,0.997347,0.000000,8.592308
50.000000,0.985859,0.997699,0.000000,8.591499
55.000000,1.000000,0.998120,0.000000,8.586821
60.000000,0.995960,0.997886,0.000000,8.568666
65.000000,0.993939,0.997973,0.000000,8.633205
70.000000,0.995960,0.997836,0.000000,8.643779
75.000000,0.994949,0.998196,0.000000,8.617247
80.000000,0.995960,0.997999,0.000000,8.559006
85.000000,0.993939,0.997976,0.000000,8.584050
90.000000,1.000000,0.997960,0.000000,8.604840
95.000000,0.993939,0.998047,0.000000,8.580732
100.000000,0.993939,0.997761,0.000000,8.565982
105.000000,0.992929,0.997926,0.000000,8.589355
110.000000,0.997980,0.997904,0.000000,8.626369
115.000000,0.989899,0.997698,0.000000,8.626229
120.000000,0.993939,0.997864,0.000000,8.576936
125.000000,0.990909,0.997844,0.000000,8.593076
130.000000,0.997980,0.997889,0.000000,8.643990
135.000000,0.992929,0.998039,0.000000,8.696926
140.000000,0.996970,0.997999,0.000000,8.728996
145.000000,1.000000,0.998116,0.000000,8.714495
150.000000,1.000000,0.998084,0.000000,8.731577
155.000000,0.994949,0.997888,0.000000,8.741361
160.000000,0.994949,0.997883,0.000000,8.726839
165.000000,0.992929,0.997933,0.000000,8.756823
170.000000,0.996970,0.998010,0.000000,8.803295
175.000000,0.993939,0.997719,0.000000,8.820351
180.000000,0.993939,0.997691,0.000000,8.802809
185.000000,0.994949,0.997869,0.000000,8.797424
190.000000,0.995960,0.997932,0.000000,8.807632
195.000000,0.997980,0.997979,0.000000,8.802980
200.000000,0.997980,0.998047,0.000000,8.850612
205.000000,0.991919,0.997989,0.000000,8.844149
210.000000,0.991919,0.998053,0.000000,8.776155
215.000000,0.995960,0.997624,0.000000,8.788278
220.000000,0.990909,0.997688,0.000000,8.713208
225.000000,0.989899,0.997845,0.000000,8.737477
